MONTH,DAY,BILL_ID,BILL_AMT,QTY,VALUE,PRICE,GRP,SGRP,SSGRP,CMP,MBRD,BRD
M1,4,T433,10.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CLASSIC SALTED
M1,4,T437,30.0,1.0,20.0,20.0,BEVERAGES,BROWN POWDERS,BROWN POWDERS,ABBOTT HEALTHCARE LTD,PEDIASURE,PEDIASURE
M1,4,T437,30.0,1.0,10.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,4,T438,5.0,1.0,5.0,5.0,CHOCOLATE,COUNT,COUNT,KAYEMPEE FOODS PVT LTD,MR. WAFER,MR. WAFER
M1,4,T439,20.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,4,T439,20.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,4,T440,5.0,1.0,5.0,5.0,CHOCOLATE,COUNT,COUNT,KAYEMPEE FOODS PVT LTD,MR. WAFER,MR. WAFER
M1,4,T443,23.0,1.0,8.0,8.0,ANTACIDS,POWDERS,POWDERS,GLAXO SMITHKLINE,ENO,ENO FRUIT SALT
M1,4,T443,23.0,1.0,5.0,5.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,SURYA FOOD & AGRO,PRIYAGOLD,PRIYA GL CHES CRCK
M1,4,T443,23.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,BRITANNIA INDS,50-50,50-50 REGULAR
M1,4,T444,380.0,1.0,35.0,35.0,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT LITE
M1,4,T444,380.0,1.0,44.0,44.0,ALL AIR FRESHNERS(01/03),SOLIDS,SOLIDS,DABUR,ODONIL,ODONIL
M1,4,T444,380.0,3.0,30.0,10.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GUJ TEA PROCESSORS,WAGH BAKRI,WAGH BAKRI PATTI LEAF
M1,4,T444,380.0,1.0,29.0,29.0,TOILET SOAPS (04/00),PREMIUM,PREMIUM,ANCHOR HEALTH,DYNA,DYNA LIME & ALOEVERA
M1,4,T444,380.0,2.0,186.0,93.0,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
M1,4,T444,380.0,1.0,29.0,29.0,CLEANERS - UTENSIL,TRADITIONAL,BARS,HINDUSTAN UNILEVER LIMITED,VIM,VIM
M1,4,T444,380.0,1.0,27.0,27.0,PRE-POST WASH PRODUCTS,LIQUID BLEACHES,LIQUID BLEACHES,HINDUSTAN UNILEVER LIMITED,RIN,RIN
M1,4,T446,311.4,2.0,24.0,12.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,HINDUSTAN UNILEVER LIMITED,KNORR,KNORR DESI
M1,4,T446,311.4,2.0,19.6,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,4,T446,311.4,2.0,58.8,29.4,CLEANERS - UTENSIL,TRADITIONAL,BARS,HINDUSTAN UNILEVER LIMITED,VIM,VIM
M1,4,T446,311.4,5.0,49.0,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NICE TIME,NICE TIME
M1,4,T446,311.4,5.0,50.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
M1,4,T446,311.4,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
M1,4,T446,311.4,2.0,90.0,45.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
M1,4,T447,30.0,1.0,10.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,4,T447,30.0,2.0,10.0,5.0,CONFECTIONERY - LOLLIPOP/FMR,LOLIPOPS,LOLIPOPS,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS
M1,4,T447,30.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BITES
M1,4,T448,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,4,T449,34.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,4,T449,34.0,1.0,24.0,24.0,VERMICELLI & NOODLE,PASTA,PASTA,NESTLE INDIA,MAGGI PAZZTA,MAGGI PAZTA CHESY TOMATO TWIST
M1,4,T450,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,4,T452,20.0,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
M1,4,T453,59.6,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,4,T453,59.6,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,GLUCOSE,GLUCOSE,PARLE PRODS,PARLE-G GOLD,PARLE-G GOLD
M1,4,T453,59.6,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
M1,4,T453,59.6,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,4,T453,59.6,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE TOP,PARLE TOP
M1,4,T454,80.0,1.0,80.0,80.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,FRUIT AND NUT
M1,4,T455,10.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS MAGIC MASALA
M1,4,T457,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
M1,4,T458,165.0,1.0,5.0,5.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
M1,4,T458,165.0,1.0,160.0,160.0,HOME INSECTICIDES CTG  (8/93),AEROSOL,AEROSOL,GODREJ CONSUMER PRODS,HIT,HIT
M1,4,T459,9.8,1.0,9.8,9.8,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,SHIVANI DETERGENT PVT LTD,SARGAM,SARGAM
M1,4,T460,39.0,1.0,39.0,39.0,TOILET SOAPS (04/00),PREMIUM,PREMIUM,GODREJ CONSUMER PRODS,GODREJ NO 1,GODREJ NO 1 ROSEWATER & ALMOND
M1,4,T462,320.0,1.0,320.0,320.0,PACKAGED ATTA (1/95),ATTA,ATTA,SANGHVI FOODS PVT LTD,SILVER COIN,SILVER COIN
M1,4,T463,20.0,1.0,20.0,20.0,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S CHOCOS FILLS KPAK
M1,4,T464,44.8,7.0,35.0,5.0,BEVERAGES,BROWN POWDERS,BROWN POWDERS,MONDELEZ INTERNATIONAL,BOURNVITA,BOURNVITA
M1,4,T464,44.8,2.0,9.8,4.9,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,VITA MARIE GOLD
M1,4,T467,10.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CHILE LIMON
M1,4,T470,151.0,2.0,20.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CHILE LIMON
M1,4,T470,151.0,1.0,10.0,10.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,TATA GLOBAL BEVERAGES LTD,TATA GOLD,TATA GOLD
M1,4,T470,151.0,1.0,73.0,73.0,HAIR OILS PKTP(8/02),RIGID,VACNO,MARICO INDS,PARACHUTE,PARACHUTE ADV ALOEVERA ENR CNO
M1,4,T470,151.0,2.0,20.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,4,T470,151.0,1.0,28.0,28.0,SPICES (03/04),PURE,CHILLY POWDER-PURE SPICES,S NARENDRA KUMAR,EVEREST,EVEREST
M1,4,T472,46.0,1.0,46.0,46.0,BUTTER MARGR  (4/94),BUTTER,SALTED,G C M M F,AMUL,AMUL
M1,4,T474,93.0,1.0,93.0,93.0,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
M1,4,T476,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
M1,4,T477,40.0,1.0,40.0,40.0,CHOCOLATE,COUNT,COUNT,FERRERO INDIA PVT LTD,KINDER JOY,KINDER JOY BOYS
M1,4,T478,226.0,1.0,125.0,125.0,KETCHUPS/SAUCES,KETCHUPS/SAUCES,KETCHUPS/SAUCES,HINDUSTAN UNILEVER LIMITED,KISSAN,KISSAN FRESH KETCHUP
M1,4,T478,226.0,1.0,101.0,101.0,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
M1,4,T479,86.0,1.0,86.0,86.0,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
M1,4,T480,83.0,4.0,48.0,12.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
M1,4,T480,83.0,1.0,35.0,35.0,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT LITE
M1,4,T482,20.0,2.0,20.0,10.0,CHOCOLATE,SUGAR PANNED,SUGAR PANNED,MONDELEZ INTERNATIONAL,GEMS,GEMS BFF
M1,4,T483,10.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,4,T484,58.0,2.0,58.0,29.0,TOOTH BRUSH   (7/93),MANUAL,MANUAL,PROCTER & GAMBLE,ORAL-B,CAVITY DEFENSE BLACK
M1,4,T485,60.0,3.0,60.0,20.0,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S CHOCOS FILLS KPAK
M1,4,T486,18.0,2.0,18.0,9.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
M1,4,T488,9.8,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,4,T489,50.0,3.0,30.0,10.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,GENERAL MILLS,PILLSBURY,PILLSBURY
M1,4,T489,50.0,1.0,10.0,10.0,SALTY SNACKS (2/97),GATHIA/PAPRI/RIBLON,GATHIA/PAPRI/RIBLON,PEPSICO INDIA,KUR KURE,KUR KURE SOLID MASTI
M1,4,T489,50.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,4,T490,10.0,1.0,10.0,10.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
M1,4,T492,20.0,2.0,20.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,4,T494,19.6,2.0,19.6,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,5,T495,40.0,2.0,40.0,20.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),PROCTER & GAMBLE,PAMPERS,PAMPERS BABY DRY PANTS
M1,5,T499,19.6,2.0,19.6,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,5,T500,639.0,1.0,66.0,66.0,VANASPATI CONS PACK (8/94),VANASPATI CONS PACK (8/94),VANASPATI CONS PACK (8/94),GODREJ CONSUMER PRODS,GODREJ,GODREJ
M1,5,T500,639.0,1.0,10.0,10.0,SALTY SNACKS (2/97),EXTRUDED SNACKS,EXTRUDED SNACKS,GUILTFREE INDUSTRIES,TOO YUMM,TOO YUMM MULTIGRAIN CHIPS
M1,5,T500,639.0,1.0,109.0,109.0,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
M1,5,T500,639.0,1.0,220.0,220.0,BUTTER MARGR  (4/94),BUTTER,SALTED,G C M M F,AMUL,AMUL
M1,5,T500,639.0,1.0,234.0,234.0,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
M1,5,T502,10.0,1.0,10.0,10.0,AGARBATTI & DHOOPBATTI,AGARBATTI,AGARBATTI,N RANGA RAO & SONS,CYCLE,CYCLE 3 IN 1
M1,5,T503,109.0,1.0,109.0,109.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GUJ TEA PROCESSORS,WAGH BAKRI,WAGH BAKRI PATTI LEAF
M1,5,T505,27.0,1.0,5.0,5.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,SUPREME NUTRI GRAIN PVT LTD,ZOOPY,ZOOPY
M1,5,T505,27.0,1.0,12.0,12.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
M1,5,T505,27.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,5,T506,20.0,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,TREAT,TREAT JAM
M1,5,T507,45.0,1.0,45.0,45.0,ALL AIR FRESHNERS(01/03),SOLIDS,SOLIDS,DABUR,ODONIL,ODONIL
M1,5,T508,9.8,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,5,T511,93.0,1.0,93.0,93.0,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
M1,5,T512,129.0,1.0,25.0,25.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CREME SANDWICH
M1,5,T512,129.0,2.0,10.0,5.0,SQSH CRDLS & SFT DRNK-CONVERTD,CONCTN POWDERS,CONCTN POWDERS,MONDELEZ INTERNATIONAL,TANG,TANG
M1,5,T512,129.0,1.0,94.0,94.0,SKIN CREAMS,ANTISEPTIC CREAMS,ANTISEPTIC CREAMS,HIMALAYA DRUG,HIMALAYA,HIMALAYA DIAPER RASH
M1,5,T513,10.0,1.0,10.0,10.0,CHOCOLATE,COUNT,COUNT,MONDELEZ INTERNATIONAL,5 STAR,5 STAR
M1,5,T515,31.8,1.0,9.8,9.8,SCOURING PADS/SCRUBS,SCOURING PADS,SCOURING PADS,YUVRAJ INDUSTRIES,HIC,HIC ALOK SHAKTI
M1,5,T515,31.8,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,SALT CRACKER,SALT CRACKER,PARLE PRODS,MONACO,MONACO
M1,5,T515,31.8,1.0,12.0,12.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
M1,5,T517,9.8,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CHOCOLATE
M1,5,T518,10.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,U FOODS INDIA PVT LTD,YOLI YOLA,YOLI YOLA
M1,5,T519,10.0,1.0,10.0,10.0,SPICES (03/04),BLENDED,MEAT/MUTTON-NON VEG MASALA,S NARENDRA KUMAR,EVEREST,EVEREST
M1,5,T520,10.0,2.0,10.0,5.0,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,SHIVANI DETERGENT PVT LTD,SARGAM,SARGAM
M1,5,T521,20.0,2.0,20.0,10.0,CHOCOLATE,COUNT,COUNT,MARS INTERNATIONAL INDIA P LTD,SNICKERS,SNICKERS
